Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;someone holding a bunch of receipts in their hands;0.0;0.0;0.0;0.81821859;0.81302261;0.81561232;0.23333016;0.71515542
0002.jpg;Vyras neša vėliavą;there is a man holding a flag in front of a building;0.0;0.0;0.11764706;0.8542763;0.86609423;0.86014467;0.16088951;0.81438178
0003.jpg;Du kareiviai stovintys su vėliava;soldiers holding a green flag and a military vehicle in the background;0.0;0.0;0.0;0.84153438;0.84508759;0.84330726;0.27712393;0.75532997
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;several people holding signs and protesting against the government;0.0;0.0;0.0;0.85453391;0.8543731;0.8544535;0.46160096;0.86593628
0005.jpg;Ant stalo padėtos kodekso knygos;books and a red backpack sitting on top of a table;0.0;0.0;0.0;0.8468281;0.84066403;0.8437348;0.23761019;0.65960884
0006.jpg;Ranka virš čekių;someone is holding a stack of receipts on a table;0.0;0.0;0.0;0.82977951;0.82896525;0.82937211;0.13112527;0.60355628
0007.jpg;Vyras tikrinasi regėjimą;there is a man with a spoon and a spoon in his eye;0.0;0.0;0.0;0.81292427;0.83086979;0.8217991;-0.07565023;0.59988731
0008.jpg;Daugiabučio namo renovacija;arafed building with scaffolding and scaffolding around it;0.0;0.0;0.0;0.81904626;0.81665951;0.81785113;0.07591194;0.56556129
0009.jpg;Lietuvos pašto dėžutė ant sienos;there is a yellow mail box on a pole outside of a building;0.0;0.0;0.0;0.84260547;0.84606326;0.84433085;0.02870142;0.60635442
0010.jpg;Krovininis laivas plaukiantis į uostą;arafed cargo ship in the water with a lot of containers on it;0.0;0.0;0.0;0.83722961;0.82854044;0.83286238;0.23912989;0.74919379
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;cars are driving down the road near a traffic light;0.0;0.0;0.0;0.82211041;0.82205856;0.82208449;0.03501075;0.27060536
0012.jpg;Prekių vežimėlis prekybos centre;someone is pushing a shopping cart in a grocery store;0.0;0.0;0.0;0.8461771;0.84792268;0.847049;0.10393148;0.60709757
0013.jpg;Tiltu einantys žmonės ir esantys šalia jo;people walking on a bridge over a river with a city in the background;0.0;0.0;0.0;0.85024661;0.85807359;0.85414219;0.27839348;0.83977616
0014.jpg;Vėjo jėgainės jūroje;there are many wind turbines in the distance behind the grass;0.0;0.0;0.0;0.83460766;0.84970134;0.84208685;0.18072444;0.65532094
0015.jpg;Pinigų banknotai;a close up of a bunch of different colored euro bank notes;0.0;0.0;0.0;0.8275581;0.86385322;0.84531629;0.42377204;0.66731417
0016.jpg;Indai pilni persikų;there are many bowls of peaches in the grass and a hand holding a peach;0.0;0.0;0.0;0.8014012;0.81691551;0.80908406;0.26661381;0.77115875
0017.jpg;Traktorius dirba laukuose;arafed tractor with a sprayer in a field of grass;0.0;0.0;0.0;0.84331501;0.86817276;0.85556334;0.39026234;0.78924459
0018.jpg;Kombainas dirba laukuose;arafed combine harvester in a field with a bird flying overhead;0.0;0.0;0.0;0.82953864;0.85383272;0.84151042;0.13668449;0.59986246
0019.jpg;Žmogus rankose nešantis įvairių daržovių krepšį;there is a person holding a basket of vegetables in their hands;0.0;0.0;0.0;0.85645914;0.86045247;0.85845125;0.1646184;0.89329922
0020.jpg;Virtuvė prieš ir po remonto;there are two pictures of a kitchen with a table and chairs;0.0;0.0;0.0;0.83633935;0.84310001;0.83970606;0.18257292;0.71076101
0021.jpg;Kondensatas susidaręs prie lango;there is a small plant sitting on a window sill;0.0;0.0;0.0;0.84086531;0.83829558;0.83957845;0.06553652;0.76093864
0022.jpg;Maža mergaitė sėdinti ant grindų;there is a little girl sitting on the floor watching tv;0.0;0.0;0.11111111;0.86152583;0.86900413;0.8652488;0.22280324;0.79851598
0023.jpg;Kompostuojamos atliekos angare;there is a pile of dirt in a large open area;0.0;0.0;0.0;0.80179548;0.78398949;0.79279256;0.08169791;0.39673111
0024.jpg;Sodo komposto dėžė;there is a composted composted composted composted composted compost;0.0;0.0;0.0;0.80447805;0.85702085;0.82991862;0.40065655;0.80182481
0025.jpg;Šiukšliavežė su šiukšlėmis ir darbininku;araf truck with a man loading a large amount of garbage;0.0;0.0;0.0;0.83884436;0.8241967;0.83145601;0.05662757;0.69167018
0026.jpg;Daug vikšrų;there are two pictures of a cater cater on a plant;0.0;0.0;0.0;0.79469728;0.79454392;0.79462057;0.01868481;0.49423683
0027.jpg;Daug vikšrų;there are many black bugs crawling on a mossy plant;0.0;0.0;0.0;0.80425364;0.80117422;0.80271101;0.11041331;0.59492743
0028.jpg;Antrankiais surakintas žmogus;araffes in handcuffs holding a cell phone in their hands;0.0;0.0;0.0;0.79852504;0.79441875;0.79646659;0.02601;0.2789098
0029.jpg;Naftos terminalas Rusijoje;arafly view of a large industrial area with a body of water;0.0;0.0;0.0;0.83805215;0.83602589;0.8370378;0.1186175;0.29391301
0030.jpg;Vyras laikantis automobilio ratą;a man working on a car in a garage with a wren;0.0;0.0;0.0;0.83842582;0.84791934;0.84314591;0.25738221;0.58657736
0031.jpg;Aukso luitai ir žmogaus pirštas;someone pointing at a gold bar on a phone with a red arrow;0.0;0.0;0.0;0.8397699;0.83645737;0.83811033;0.17641881;0.52885759
0032.jpg;Moksleiviai sėdintys klasėje;students sitting in a classroom watching a presentation on a screen;0.0;0.0;0.0;0.85674828;0.84950793;0.85311276;0.39072305;0.83354419
0033.jpg;Mokytoja stovinti prie išmanios lentos;students sitting at desks in a classroom with a projector screen;0.0;0.0;0.0;0.84959972;0.85495436;0.85226858;0.1329336;0.56990987
0034.jpg;Vaistai ir pinigai;a close up of a calculator, pen, and pills on a table;0.0;0.0;0.0;0.83357799;0.82631969;0.82993293;0.15526438;0.44976169
0035.jpg;Nobelio prizas skiriamas labiausiai nusipelniusiems mokslininkams;a close up of a gold medal with a man ' s face;0.0;0.0;0.0;0.82352519;0.8069706;0.81516385;0.06703685;0.16950272
0036.jpg;Žemė ir skriejantis asteroidas;a close up of a rock near a planet with a red light;0.0;0.0;0.0;0.83968747;0.82467282;0.83211243;0.19678366;0.61447883
0037.jpg;Žemė ir skriejantis asteroidas;an image of a large rock is flying over the earth;0.0;0.0;0.0;0.84299934;0.84377474;0.84338689;0.28061551;0.61477494
0038.jpg;Palydovas kosmose;arafed view of a space station in the sky with clouds;0.0;0.0;0.0;0.82197982;0.82720655;0.8245849;0.28843904;0.72670043
0039.jpg;Blogas kvapas;a woman with a tear of tear on her nose;0.0;0.0;0.0;0.77501905;0.80243087;0.78848678;0.03393844;0.34949675
0040.jpg;Naujagimius ligoninėje prižiūri seselė;there are many babies in a row in a hospital room;0.0;0.0;0.0;0.85116589;0.84888607;0.85002446;0.20904166;0.70792484
0041.jpg;Zebras;zebra standing in front of a black and white striped wall;0.0;0.25;0.16666667;0.77013415;0.81367493;0.79130602;0.65121883;0.79179031
0042.jpg;Rankos pirštų nagai;someone is holding their thumb up with a toothbrush in their hand;0.0;0.0;0.0;0.79086208;0.79943037;0.79512316;0.16775793;0.49177328
0043.jpg;Daug radioteleskopų;arafed array of white satellite dishes in a desert area;0.0;0.0;0.0;0.81614435;0.83201075;0.82400113;0.16491856;0.58406234
0044.jpg;Du šernai pievoje;there are two boars that are walking in the grass;0.0;0.0;0.0;0.81600785;0.81005311;0.81301951;0.21776895;0.38286752
