Image Name;Original Caption;Generated Caption;BLEU;METEOR;ROGUE;BERTscore Precision;BERTscore Recall;BERTscore F1;SentenceBERT_MRL;SentenceBERT_MPNET
0001.jpg;Rankoje laikomi čekiai;Paveikslėlyje – daug skaito čekių.;0.0;0.0;0.0;0.84924865;0.86696672;0.85801619;0.12429158;0.80595934
0002.jpg;Vyras neša vėliavą;Palyginamos Palestinos vėliavos ir Izraelio vėliavos.;0.0;0.0;0.15384615;0.88011968;0.91433954;0.89690334;0.29584318;0.55087572
0003.jpg;Du kareiviai stovintys su vėliava;Lietuvos karių rengimas užsienyje.;0.0;0.0;0.0;0.90449548;0.82722682;0.86413723;0.10892881;0.25431547
0004.jpg;Minia protestuojančių žmonių laikančių plakatus;Vilniaus protestas prieš kultūros ministerijos sprendimus.;0.0;0.0;0.0;0.87201309;0.85098124;0.86136883;0.13216135;0.52313185
0005.jpg;Ant stalo padėtos kodekso knygos;Lietuvos Respublikos baudžiamasis kodeksas.;0.0;0.0;0.0;0.89148867;0.81694168;0.85258877;0.27946085;0.36154315
0006.jpg;Ranka virš čekių;Mokesčių čekiai: daug išlaidų, daug tvarkymo.;0.0;0.0;0.0;0.86452436;0.88091493;0.8726427;0.02382729;0.4907237
0007.jpg;Vyras tikrinasi regėjimą;Akies tyrimas naudojant švartą.;0.0;0.0;0.0;0.88379031;0.86181957;0.87266666;0.12335421;0.73205429
0008.jpg;Daugiabučio namo renovacija;Pastato renovacija, naudojant antglaudžių konstrukcijas.;0.0;0.0;0.2;0.84657109;0.86503363;0.85570276;0.27000803;0.83935791
0009.jpg;Lietuvos pašto dėžutė ant sienos;Lietuvos pašto dėžutė Vilniuje.;0.0;0.60090703;0.76923077;0.9227038;0.9094075;0.9160074;0.7856735;0.73573565
0010.jpg;Krovininis laivas plaukiantis į uostą;Container ship passing through the Ems channel.;0.0;0.0;0.0;0.84401178;0.83786547;0.84092742;0.12957644;0.71813196
0011.jpg;Pervažas stebi išmaniosios vaizdo sistemos;Rail traffic control and surveillance camera warning.;0.0;0.0;0.0;0.8445093;0.83283097;0.83862948;0.16778509;0.54836541
0012.jpg;Prekių vežimėlis prekybos centre;"Štai trumpa antraštė:

Šūksniai ir parduotuvės: į pirminę parduotuvę.";0.0;0.0;0.0;0.85359067;0.8591212;0.85634702;0.10842779;0.692155
0013.jpg;Tiltu einantys žmonės ir esantys šalia jo;Miesto parkas prie upės ir tiltas.;0.0;0.07246377;0.26666667;0.90403855;0.88484746;0.89434004;0.09159331;0.72035116
0014.jpg;Vėjo jėgainės jūroje;Ezgantės ir bangos šalia vėjo turbinų.;0.0;0.15151515;0.26666667;0.86416215;0.90287602;0.88309503;0.25947511;0.8778767
0015.jpg;Pinigų banknotai;Euro pinigai: 10 ir 20 eurų dydžiai.;0.0;0.0;0.0;0.8500374;0.90429723;0.87632817;0.16916649;0.58165532
0016.jpg;Indai pilni persikų;Sviežios avietės, skanų vasaros patyrimo pradžia.;0.0;0.0;0.0;0.84392452;0.84448451;0.84420437;0.09374961;0.54071003
0017.jpg;Traktorius dirba laukuose;Sniego žiemą ūkininkų darbų laukimas.;0.0;0.0;0.0;0.87245846;0.86496234;0.86869425;0.2497476;0.64504123
0018.jpg;Kombainas dirba laukuose;Sienosukis ir elnias laukuose.;0.0;0.0;0.28571429;0.85780144;0.89938748;0.87810236;0.25641522;0.76345384
0019.jpg;Žmogus rankose nešantis įvairių daržovių krepšį;Sviežių daržovių krepšys iš ūkybos.;0.0;0.08474576;0.375;0.89737535;0.93129253;0.91401935;0.46772289;0.76724833
0020.jpg;Virtuvė prieš ir po remonto;Paskirties keitimas: nuo chaotiško iki modernaus.;0.0;0.0;0.0;0.83395672;0.84658682;0.84022433;0.06931628;0.22601599
0021.jpg;Kondensatas susidaręs prie lango;Šaltai ir drėgna – lango kondensacija.;0.0;0.11904762;0.18181818;0.87092477;0.87905633;0.87497163;0.46203324;0.68163073
0022.jpg;Maža mergaitė sėdinti ant grindų;Mažylis žiūri televizorių.;0.0;0.0;0.16666667;0.92267001;0.90895599;0.91576171;0.15550797;0.37028146
0023.jpg;Kompostuojamos atliekos angare;Kompostavimo aikštelė po stogu.;0.0;0.0;0.0;0.85784429;0.83025372;0.84382355;0.35612071;0.56512159
0024.jpg;Sodo komposto dėžė;Kompostavimo konteineris su šakėmis ir pupelėmis.;0.0;0.0;0.0;0.89048445;0.92172652;0.90583616;0.2326389;0.79597855
0025.jpg;Šiukšliavežė su šiukšlėmis ir darbininku;Atliekamas atliekų tvarkymas miesto gatvėje.;0.0;0.0;0.0;0.90568876;0.86158586;0.88308704;0.16232654;0.78243667
0026.jpg;Daug vikšrų;Juodųjų vėžlių gniubtelis ant geryno.;0.0;0.0;0.0;0.84839749;0.83965218;0.84400219;-0.00441783;0.70871478
0027.jpg;Daug vikšrų;Šaršiniai užburiantys, įstrigę vejapūglio tinkle.;0.0;0.0;0.0;0.7954008;0.82749104;0.81112862;0.04165237;0.71510834
0028.jpg;Antrankiais surakintas žmogus;Apmąstymas: įkalinimas, suimtas, policija.;0.0;0.0;0.0;0.79194272;0.79477918;0.79335839;0.02163284;0.59327573
0029.jpg;Naftos terminalas Rusijoje;Naftų tankų kompleksas Vilniuje, Baltijos regione.;0.0;0.0;0.0;0.88853025;0.90414774;0.89627093;0.19142622;0.54082006
0030.jpg;Vyras laikantis automobilio ratą;Automobilių ratais dirbantis meistras.;0.0;0.0;0.0;0.87297159;0.89465421;0.88367993;0.57078481;0.72596121
0031.jpg;Aukso luitai ir žmogaus pirštas;Auksas ir investicijų rinkos analizė.;0.0;0.1;0.18181818;0.87569803;0.86453831;0.87008238;0.18563023;0.38734442
0032.jpg;Moksleiviai sėdintys klasėje;Mokiniai dirba klasėje.;0.0;0.0;0.44444444;0.95613402;0.89409149;0.92407256;0.60846841;0.88411027
0033.jpg;Mokytoja stovinti prie išmanios lentos;Mokykla: mokytoja ir mokiniai prie kompiuterio.;0.0;0.19607843;0.33333333;0.91442567;0.92477155;0.91956949;0.32625109;0.73376626
